Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/9/17, 10:45:00, 5730.50, 5737.00, 5717.25, 5722.50, 47545, 36636, 24420, 23125
2024/9/17, 11:00:00, 5722.50, 5730.00, 5720.75, 5726.75, 34164, 26847, 17144, 17020
2024/9/17, 11:15:00, 5726.75, 5730.75, 5722.00, 5722.50, 29453, 22762, 15556, 13897
2024/9/17, 11:30:00, 5722.50, 5724.25, 5719.25, 5720.00, 27855, 20359, 15939, 11916
2024/9/17, 11:45:00, 5719.75, 5722.75, 5718.50, 5720.75, 22993, 16837, 12027, 10966
2024/9/17, 12:00:00, 5720.75, 5722.75, 5715.00, 5716.00, 22106, 15621, 13276, 8830
2024/9/17, 12:15:00, 5715.75, 5715.75, 5699.25, 5707.50, 60322, 43862, 32500, 27822
2024/9/17, 12:30:00, 5707.50, 5707.75, 5694.25, 5696.50, 39288, 30225, 21020, 18268
2024/9/17, 12:45:00, 5696.50, 5698.50, 5679.25, 5688.00, 66961, 51065, 33191, 33770
2024/9/17, 13:00:00, 5688.00, 5693.00, 5684.50, 5690.50, 30889, 26467, 15259, 15630
2024/9/17, 13:15:00, 5690.25, 5700.75, 5688.00, 5697.00, 25486, 20472, 11830, 13656
2024/9/17, 13:30:00, 5697.25, 5700.75, 5683.25, 5685.00, 29266, 24005, 15368, 13898
2024/9/17, 13:45:00, 5685.00, 5699.50, 5677.75, 5697.00, 30171, 24427, 14524, 15647
2024/9/17, 14:00:00, 5697.00, 5702.00, 5694.25, 5695.25, 18400, 14934, 9444, 8956
2024/9/17, 14:15:00, 5695.50, 5701.00, 5692.50, 5696.50, 16970, 13916, 8562, 8408
2024/9/17, 14:30:00, 5696.75, 5699.25, 5692.50, 5697.50, 19271, 14300, 9816, 9455
2024/9/17, 14:45:00, 5697.50, 5698.00, 5683.25, 5690.75, 45648, 33200, 23305, 22343
2024/9/17, 15:00:00, 5690.50, 5694.50, 5687.00, 5694.25, 19937, 15595, 10170, 9767
2024/9/17, 15:15:00, 5694.00, 5695.00, 5683.75, 5692.50, 19426, 15847, 9604, 9822
2024/9/17, 15:30:00, 5692.25, 5694.25, 5687.50, 5689.50, 25726, 19021, 12737, 12989
2024/9/17, 15:45:00, 5689.75, 5702.75, 5689.50, 5702.00, 89038, 54703, 38379, 50659
2024/9/17, 16:00:00, 5702.25, 5703.50, 5700.25, 5702.75, 25751, 13516, 11996, 13755
2024/9/17, 16:15:00, 5702.75, 5706.25, 5702.50, 5705.50, 5941, 3031, 2580, 3361
2024/9/17, 16:30:00, 5705.25, 5706.50, 5703.75, 5704.50, 3134, 1860, 1698, 1436
2024/9/17, 16:45:00, 5704.50, 5704.75, 5701.25, 5701.25, 2378, 1409, 1435, 943
2024/9/17, 18:00:00, 5701.00, 5703.00, 5700.00, 5702.75, 1244, 981, 605, 639
